video_id,gt,pred_lcrm_lite_fused
,2023年7月20日18时26分17秒，外环高速龙吴路路段出现二轮车辆闯入交通事件。一辆黑色摩托车从右侧进入主车道，行驶在最右侧车道内，佩戴头盔，且无明显专用二轮车道标识或隔离设施。该摩托车在车流中穿行，与多辆轿车并行，存在逆行、横穿车道等危险行为，对周边车辆造成潜在安全隐患。由于高速公路禁止非机动车和二轮车辆通行，该行为属于典型闯入违规行为，且现场无警示标志提示，导致其他车辆需紧急避让或减速，影响了正常交通秩序。,2023年7月20日18时26分，外环高速龙吴路路段出现严重交通拥堵，车辆行驶缓慢，多辆轿车、货车及客车在车道内排队缓行，部分车辆处于停滞状态，车流密度显著增加，持续时间超过10秒且无缓解趋势，符合拥堵判断标准。现场未见异常停车、施工设施、
,2023年7月19日18时52分13秒至18时52分20秒，外环高速莘朱路路段出现二轮车辆闯入交通事件。一辆摩托车在行车道内由南向北行驶，未在专用非机动车道或允许通行区域行驶，且在车流密集的高速公路主车道中穿行，存在逆行、横穿车道等危险行为。该摩托车未见明显牌照，驾驶员佩戴头盔，车身灯光闪烁，与周围正常行驶的轿车、货车形成显著对比。其行为导致周边车辆紧急避让，部分车辆减速绕行，影响了主线交通秩序和行车安全，构成典型二轮车辆非法闯入高速公路的异常交通事件。,2023年7月18日19时52分14秒，在外环高速莘朱路路段，一辆二轮摩托车从右侧车道驶入主干道，行驶于多车道高速公路的中间车道，未在专用通道或允许区域通行。该摩托车驾驶员佩戴头盔，车辆无明显牌照，存在逆行、横穿车道等危险行为，且在车流密集
,2023年10月10日星期二14时33分至14时34分，位于城市高架道路主干道上，多车道车辆行驶缓慢，车流密集且持续拥堵。涉事车辆包括大量轿车、货车、公交车及小型客车，其中一辆白色厢式货车和一辆红色平板货车在车流中缓慢行驶，未见明显违规行为。由于车流量大，车辆间距极小，整体通行速度显著下降，部分车辆出现频繁刹车与变道现象，导致交通流畅性严重受限。该路段为双向高架桥结构，右侧匝道有车辆分流但未缓解主路压力，左侧辅路亦有车辆汇入，加剧了拥堵态势。现场无事故、无施工迹象，也未发现异常停车或抛洒物，但因高峰时段车流集中，形成典型的交通拥堵事件，影响了该区域的正常通行效率。,2023年10月10日星期一14时33分至14时34分，位于城市高架道路主干道上发生拥堵事件。事发地点位于一座多车道高架桥路段，双向车流密集，右侧车道车辆行驶缓慢，形成明显排队现象，车辆间距缩短，车速降低，部分车辆处于低速蠕行状态。涉事车辆
,2023年7月22日06时03分至06时16分，外环高速北翟路立交北侧路段，一辆红色平板货车在行车道内完全静止，驾驶员下车后在车辆后方停留并进行操作，导致后方车辆被迫减速绕行，影响正常交通秩序。该车辆长时间占用行车道，且无明显故障迹象或临时停车标志，符合异常停车特征。,多车事故
,2023年12月8日13时32分至13时35分，S4市区方向至S20内侧路段出现拥堵交通事件。该路段为多车道高速公路，单向车流密集，右侧车道车辆行驶缓慢，部分车辆排队等候通行，车距明显缩短，整体车速降低。涉事车辆包括多辆轿车、货车及大型运输车辆，如红色集装箱货车、黄色工程车、油罐车等，均在正常行驶中但受前方车流影响导致通行效率下降。道路中央设有导流线，两侧有隔离护栏和隔音墙，未见施工或事故迹象。由于车流量大且持续时间较长，后方车辆逐渐积压，形成缓行状态，影响了该路段的正常通行秩序，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常且无缓解趋势的特征。,2023年12月8日13时33分至13时34分，S4市区方向至S20外环线高架路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆以轿车、货车及厢式运输车为主，其中包含红色、白色、黑色等多种颜色的车辆。视频显示，从13:33:0
,2024年6月5日14时46分，外环高速莘朱路路段，一辆红色集装箱货车停靠在右侧应急车道上，车身紧贴护栏，长时间静止不动，驾驶员不在车内，后方车辆被迫减速绕行，影响通行效率，存在安全隐患。,多车事故
,2023年08月25日星期五18时33分，某城市高架道路双向车道出现交通拥堵事件，事发地点位于高架桥主干道，现场多辆小轿车、货车及客车在多个车道内缓慢行驶或完全停止，车辆尾灯持续亮起，车流密度显著增加，尤其在右侧车道形成明显排队现象，部分车辆因前方拥堵被迫减速或变道，导致整体通行效率下降。涉事车辆包括白色、红色、黑色等各类私家车以及红色大型货车和厢式货车，未见明显事故或障碍物，但车距缩短、车速降低，且拥堵状态持续时间较长，符合交通拥堵的典型特征，对道路通行能力造成较大影响。,2023年8月25日星期六11时30分至11时31分，位于城市高架道路的某路段发生交通拥堵事件。该路段为双向多车道高架桥，右侧车道车辆行驶缓慢，车流密集，多辆轿车、货车及大型运输车辆（包括红色集装箱货车、平板拖车和白色厢式货车）排成长队，车
,2023年11月2日星期四上午8时45分至8时46分，外环高速同济路立交东侧路段出现明显交通拥堵。该区域为多车道高架道路，车流量较大，主要由小客车、货车及部分厢式车辆构成。视频显示，主干道上车辆行驶缓慢，车距缩短，多数车辆处于低速蠕动状态，部分车辆刹车灯持续亮起，表明存在长时间缓行现象。拥堵范围覆盖多个车道，且持续时间接近一分钟，未见缓解趋势，符合拥堵判断标准中的“多辆车缓慢移动或完全停止”“排队车辆长度超过正常范围”“持续一段时间且无缓解趋势”等特征。右侧匝道通行相对顺畅，但主路车流受阻明显，影响整体通行效率。现场未发现异常停车、事故、施工或抛洒物等情况，推测拥堵可能由早高峰车流集中或前方路段瓶颈导致。,2023年11月2日星期四上午8时45分至8时46分，外环高速同济路东（医院）路段出现严重交通拥堵。该路段为多车道高架道路，车流密集，车辆以缓慢速度行驶，部分车辆几乎处于停滞状态，持续时间约一分钟且无缓解趋势。涉事车辆包括大量轿车、SUV、
,2024年03月02日星期六15时42分，外环高速蕴川立交西枪机2监控画面显示，该路段双向车道出现明显交通拥堵现象。左侧方向车辆排成长队，包括轿车、货车、厢式货车及大型集装箱卡车等多种车型，车流缓慢移动，部分车辆处于静止状态，形成持续性拥堵。右侧方向车流相对顺畅，但仍有少量车辆行驶。拥堵区域位于江杨北路出口前约1公里处，受上游车流积压影响，车辆通行效率显著降低，且无明显事故或施工迹象，推测为高峰时段车流量过大所致。异常特征表现为左侧车道车辆密集排队，行驶速度极低，而对向车道正常通行，呈现典型单向拥堵特征。,2024年3月2日星期六15:42至15:43期间，外环高速蕴川立交西路段出现交通拥堵事件。该路段为多车道高架道路，双向车流密集，车辆行驶缓慢，部分车辆处于低速移动或短暂停滞状态，排队长度持续延伸，未见明显事故或障碍物导致阻塞，但整体通行效
,2024年6月4日7时45分53秒至7时46分52秒，嘉闵西桃浦公路南路段出现异常停车事件。一辆黑色轿车在导流线区域完全静止，位于画面右侧靠近中央隔离带的第二车道内，车辆未开启双闪灯，驾驶员不在车内，车辆周围无明显故障迹象。该车停靠位置处于非停车区域，且无交通信号灯或标志允许停车。该异常停车行为持续约20秒，影响了正常交通流，存在较大安全隐患。,2024年6月4日早上7点45分至7点46分，嘉闵西桃浦公路南路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，车辆以缓慢速度行驶，部分车辆处于停滞状态，形成连续排队现象，持续时间约一分钟且无缓解趋势。涉事车辆包括多辆轿车、SUV及一
,2023年7月17日16时07分40秒左右，在外环高速吴中路路段，一辆二轮摩托车沿最左侧车道驶入机动车道，未在非机动车道或专用通道内通行，属于闯入禁止通行区域的行为。该摩托车驾驶员佩戴头盔，车辆无明显牌照信息，行驶过程中未见逆行或横穿车道等危险行为，但其进入机动车道的行为违反了高速公路交通管理规定，对正常行驶的车辆构成潜在安全隐患。由于该路段为封闭式高速公路，本应禁止二轮车辆通行，因此该行为属于典型的二轮车辆闯入事件。现场其他车辆未出现紧急避让或减速情况，交通秩序整体保持正常，但该行为仍存在较大安全风险。,2023年7月16日17时07分35秒至17时08分03秒，外环高速吴中路路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向北方向车辆行驶缓慢，形成连续排队现象，车辆间距明显缩小，部分车辆处于低速移动或短暂停滞状态，持续时
,2024年5月15日00:07至00:08，在外环高速老沪闵路东（内）路段，发生了一起占道施工交通事件。现场可见车道被多个锥桶和施工车辆遮挡，施工人员穿着反光背心在进行操作，导致该区域的车道数量减少，车辆被迫变道或减速行驶。涉事车辆包括多辆工程车和施工人员，他们的行为明显影响了正常交通流，造成了后方车辆的缓慢移动和排队现象。异常特征包括施工区域设有警示牌和闪烁警示灯，但仍然对夜间行车安全造成了一定的影响。,2024年5月15日00:07:00至00:08:00，在外环高速老沪闵路东（内）路段，发生了一起多车事故。视频显示，事故区域位于道路右侧靠近匝道汇入处，涉事车辆包括两辆轿车，其中一辆黑色轿车在行驶过程中与前方白色轿车发生追尾碰撞，导致两车
,2024年6月23日7时26分至7时27分，外环高速吴中入口匝道（外）路段出现异常停车事件。一辆白色面包车在右侧内侧车道上完全静止，车辆开启双闪灯，且无明显故障迹象，车辆位置处于非停车区域，导致后方车辆被迫减速绕行，影响了该车道的正常通行秩序。此行为不符合高速公路临时停车规定，存在安全隐患，符合异常停车事件。,多车事故
,2024年3月11日07:18:56至07:19:55期间，沪闵高架至S4金山方向路段出现拥堵交通事件。该路段为双向多车道高速公路，两侧设有绿色护栏和茂密树木，监控画面显示车辆在多个车道上缓慢行驶，车流密集且持续时间较长。涉事车辆包括多辆小轿车、客车及货车，如金色中巴、浅绿色大巴、蓝色货车以及白色校车等，均以低速状态通过该区域，部分车辆频繁变道或刹车，尾灯亮起。由于车流量大，车辆间距明显缩小，后方车辆被迫减速并排缓行，导致整体通行效率降低。此路段无施工迹象、无异常停车或事故痕迹，也未见二轮车闯入或抛洒物情况，但因车流集中形成典型拥堵现象，影响了正常交通秩序。,2024年3月11日7时18分至7时19分，沪闵高架至S4金山方向路段出现交通拥堵事件。该路段为双向多车道高架道路，两侧有绿化带和护栏，道路标线清晰。视频显示，从7:18:52开始，该路段车辆行驶缓慢，车流密集，多辆轿车、货车及大型客车在车
,2023年10月9日18时50分至18时51分，嘉闵东京沪立交北入口处出现严重交通拥堵。该路段为多车道高架道路，夜间照明条件下，大量车辆在主路及匝道方向缓慢行驶或完全停滞，车流密集且持续时间较长，车辆尾灯连成一片红色光带，表明通行速度极低。涉事车辆包括轿车、出租车、面包车等各类机动车，均处于低速行驶或频繁刹车状态，部分车辆在尝试变道或汇入主路时造成局部拥堵加剧。右侧匝道区域有少量车辆正常通行，但整体交通流量明显受限。由于车流密集且无明显事故或施工迹象，判断为高峰时段常规性拥堵，影响范围覆盖多个车道并延伸至远处，未见异常停车、占道施工、二轮车辆闯入或抛洒物等情况，但因车辆间距过小、行驶缓慢，存在潜在追尾风险。,2023年10月9日18时50分至18时51分，嘉闵东京沪立交北入口处发生交通拥堵事件。该路段为夜间高架道路，双向多车道，右侧方向车流密集，车辆行驶缓慢，尾灯连成一片红色光带，表明车辆处于低速或停滞状态。涉事车辆包括多辆轿车、SUV及少量货
,2023年7月15日16时14分至16时15分，位于城市快速路左侧车道上，一辆红色大型货车在非停车区域长时间静止不动，车辆开启双闪灯，周围车辆被迫绕行或减速避让，造成该车道通行受阻。该车停靠位置靠近道路护栏，无交通信号灯或标志允许停车，且持续时间超过正常临时停车范围，属于异常停车行为。现场未见明显故障迹象，但其静止状态对后方车辆行驶安全构成影响，存在安全隐患。,2023年7月15日16时14分至16时15分，位于某城市高架道路南向车道（靠近道路左侧绿化带）发生一起多车事故。涉事车辆包括一辆红色厢式货车、一辆白色轿车及多辆后方跟随的车辆。视频显示，红色厢式货车在行驶过程中突然减速并停车，导致后方车辆
,2024年02月23日星期五08:01:02至08:02:59期间，外环高速吴中路-1枪机1监控区域出现持续性交通拥堵事件。该路段为双向多车道高速公路，车流密集，主要由小客车和货车组成，包括红色、白色、黑色等多种颜色的轿车及红色、蓝色、白色集装箱货车。车辆在多个车道上缓慢行驶，车距明显缩短，部分车辆刹车灯持续亮起，表明车速较低且存在频繁减速行为。尤其在中间车道和右侧车道，车辆排队长度逐渐延长，通行效率显著下降，形成典型的拥堵态势。未见异常停车、占道施工、二轮闯入、事故或抛洒物等其他异常情况，但整体车流密度高且无明显缓解趋势，符合拥堵判断标准，影响了该路段正常通行秩序。,2024年02月23日星期五08:01:04至08:01:58，在外环高速吴中路，发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆蓝色SUV。事故导致该路段交通拥堵，后续车辆被迫减速或变道，现场有人员下车查看情况，显示出一定的紧急和混乱状
,2023年7月19日20时03分45秒，在嘉闵高架东侧民生路北段，一辆二轮车进入机动车道后沿最右侧车道向前行驶，该路段为城市快速路，禁止非机动车通行，且无专用二轮车道或明显允许通行标志。该二轮车驾驶员佩戴头盔，车辆无牌照特征，其行为属于闯入禁止通行区域的危险驾驶行为，对正常行驶的机动车造成潜在安全隐患，后方多辆汽车出现避让动作，存在引发交通事故的风险。,多车事故
,2023年9月22日星期五14时33分至14时34分，位于城市高架道路的某路段发生拥堵事件。该路段为双向多车道高架桥，路面湿滑，天气为雨天。拥堵主要集中在右侧方向的多个车道，车辆排成长队缓慢移动，车流密度极高，部分车辆处于停滞状态。涉事车辆包括多种类型，如白色JAC厢式货车、绿色JMC货车、红色平板运输车、多辆轿车及SUV等，其中可见出租车和私家车混行。车辆在雨天条件下行驶速度明显降低，车距缩短，后方车辆频繁刹车减速，形成连环缓行现象。左侧对向车道交通基本正常，车辆通行顺畅。此次拥堵持续时间较长，影响范围覆盖数公里，未见明显的事故或施工迹象，但因车流量大且天气原因导致通行效率显著下降，属于典型的雨天高峰时段交通拥堵事件。,2023年9月22日星期五15时13分至15时14分，位于城市高架道路的某路段发生拥堵事件。该路段为双向多车道高架桥，路面湿滑，天气阴雨。视频显示，从15:13:30开始，主车道上车辆密集，车流缓慢移动，部分车辆处于低速行驶或短暂停滞状态，
,2023年8月15日18时03分，外环高速蕴藻浜桥北2（外）路段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向北方向车辆排成长队，车辆行驶缓慢或基本停滞，持续时间超过10秒且无缓解趋势。涉事车辆包括大量轿车、货车及集装箱运输车，车辆在多个车道内缓慢移动或完全停止，部分车辆因拥堵被迫变道或减速。拥堵区域位于沪太路出口附近，前方500米处设有紧急停车带提示标志，但未见施工或事故迹象。整体车流呈现典型高峰期拥堵特征，车辆间距极小，通行效率显著下降，影响范围覆盖多个车道，导致通行能力大幅降低。,2023年7月18日15时07分至15时08分，外环高速沪太立交东2枪机监控区域出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆以缓慢速度行驶，部分车辆处于停滞状态，排队长度持续延伸，未见明显事故或障碍物。涉事车辆包括大量轿
,2023年10月9日星期一早上7点37分至7点38分，位于城市高架桥路段的交通监控画面显示，该区域出现明显拥堵现象。多辆小轿车、客车及货车在双向车道上缓慢行驶，车流密集且车辆间距较小，部分车辆几乎处于停滞状态，尤其在左侧车道形成较长的排队车队，持续时间约一分钟且无缓解趋势。涉事车辆包括白色大巴车、红色快递货车、各类私家车以及小型厢式货车，均在正常行驶中但受阻于前方车流。由于道路未见施工设施或事故迹象，推测拥堵原因为早高峰时段车流量大，导致通行效率下降。此情况符合拥堵判断标准：多辆车缓慢移动或完全停止，排队长度超过正常范围，发生在城市主干道与匝道交汇处等瓶颈区域，对交通运行造成显著影响。,2023年10月9日星期一早上7点37分至7点38分，位于城市高架道路的某路段发生拥堵事件。该路段为多车道双向高架桥，两侧设有隔音屏障和城市天际线背景。视频显示，从7:37:15开始，该路段车辆行驶缓慢，车流密集，多辆轿车、SUV及一辆大型
,2024年5月16日17时16分55秒至17时54分，在嘉闵西侧定焦13路段，发生了一起多车事故交通事件。视频中显示，多辆汽车在该路段发生了碰撞，涉事车辆包括白色SUV、黑色SUV和面包车，它们的位置异常，有的斜停在路中央，显示出明显的碰撞痕迹。事故导致现场交通严重受阻，后方车辆被迫减速或停滞，形成了较长的排队现象，持续时间较长且无缓解趋势。此外，有人员下车交涉，进一步加剧了交通拥堵的情况。整个事件的异常特征表现为车辆位置异常、碰撞痕迹明显以及交通秩序混乱。,多车事故
,2023年12月11日星期一17时53分至17时54分，外环高速吴中路路段出现严重交通拥堵事件。该路段为双向多车道高速公路，夜间照明条件下，左侧对向车道车辆密集，车灯连成一片，形成明显拥堵带，车辆行驶缓慢或处于停滞状态，排队长度持续延伸。右侧车道虽有车辆正常通行，但整体车流密度较高，部分车辆因前方缓行而减速，导致后方车辆间距缩小，存在连续刹车现象。涉事车辆包括轿车、货车、客车及大型运输车辆，其中多辆货车在车道中穿行，加剧了交通压力。由于拥堵影响，车辆行驶速度显著降低，部分车辆在变道过程中出现急刹行为，存在安全隐患。异常特征表现为车流长时间无明显缓解趋势，且拥堵区域集中在道路一侧，可能由前方突发状况或瓶颈路段引发，未见明显事故或施工迹象，但整体通行效率大幅下降，对周边交通造成较大影响。,2023年12月11日17时53分至17时54分，外环高速吴中路路段发生一起多车事故。事故发生在夜间，监控画面显示一辆白色轿车与前方车辆发生追尾，涉事车辆包括白色轿车及前车。事故现场有多名车辆停靠在行车道上，驾驶员下车查看情况，另一名车辆驾
,2023年10月9日16时27分，位于某城市高速公路双向车道中的一侧主干道发生交通拥堵事件，现场多辆小客车、货车及集装箱运输车在多个车道内缓慢行驶或处于停滞状态，车辆排成长队，车距明显缩短，车流密度高，持续时间超过10秒且无缓解趋势。涉事车辆包括白色轿车、蓝色SUV、红色轿车、白色厢式货车以及多辆大型集装箱卡车和厢式货车，其中部分车辆如白色厢式货车和黑色货车处于缓慢移动状态，未见异常停车或事故迹象。该路段为多车道高速公路，道路中间设有绿化隔离带，右侧车道受阻严重，车辆通行速度显著下降，后方车辆被迫减速并排队等候，形成典型的拥堵特征，未见施工设施、抛洒物或交通事故痕迹，推测可能因上游交通流量过大或前方存在未显示的瓶颈导致。,2023年10月10日星期四16时27分至16时28分，位于城市快速路某路段（道路两侧有绿化带，限速30公里/小时）出现持续性交通拥堵。该路段为多车道高速公路，车流密集，车辆以缓慢速度行驶，部分车辆几乎处于停滞状态，排队长度超过正常范围且无
,2023年7月21日11时00分24秒，在外环高速武威路南（内）路段，一辆二轮摩托车从画面左侧驶入主车道，行驶于小客车，未在专用非机动车道或辅道行驶，明显佩戴头盔。该车辆在车流中穿行，周围多辆汽车被迫减速避让，造成局部交通秩序紊乱，属于典型的二轮车辆闯入高速公路的异常事件。,2023年12月21日13时00分至13时01分，外环高速武威路南（内）路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆包括轿车、货车、厢式货车及大型运输车等各类机动车。视频显示，从13:00:00开始，道路右侧车道车辆行驶
,2023年12月16日星期六上午9时35分至9时37分，外环高速京沪铁路桥南路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，车辆以缓慢速度行驶，部分车辆处于停滞状态，形成连续的排队现象，持续时间超过一分钟且无缓解趋势。涉事车辆包括各类轿车、货车、厢式货车及特种运输车辆，如混凝土搅拌车、冷藏车、平板货车等，均在正常车道内行驶但受阻于前方车流。未见异常停车、占道施工、事故或抛洒物等情况，也无二轮车辆闯入行为。拥堵主要发生在道路中段区域，影响范围较长，导致后方车辆需减速并保持安全距离，整体通行效率显著下降，符合拥堵判断标准中的“多辆车缓慢移动或完全停止”、“排队车辆长度超过正常范围”、“持续一段时间且无缓解趋势”以及“发生在路口、匝道等瓶颈区域”等特征。,2023年12月16日星期一上午9时36分，外环高速京沪铁路桥南路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及少量客车组成，车辆在多个车道内缓慢行驶或处于停滞状态，部分车辆间距明显缩小，车流速度显著降低，持续时间
,2024年3月13日17时24分至17时25分，外环高速北翟路立交北段出现持续性交通拥堵，现场车流密集，多车道车辆缓慢行驶或停滞，排队长度超过正常范围，且无明显缓解趋势。涉事车辆包括各类轿车、货车、集装箱车、罐车及两辆大型汽车运输车，其中一辆红色集装箱货车和一辆白色罐车在中间车道行驶，后方跟随一辆装载多辆新车的双层汽车运输车，该运输车车身较长，占据部分车道空间，进一步加剧了通行压力。车辆普遍保持低速行驶，尾灯亮起，存在频繁变道与跟车行为，部分车辆因避让大型货车而减速绕行。道路两侧为绿化带和高架桥结构，未见施工设施或抛洒物，也无异常停车或事故迹象，整体表现为典型高峰时段的交通拥堵现象，影响区域为立交桥附近瓶颈路段，通行效率显著下降。,2024年6月19日17时28分至17时29分，外环高速北翟路立交桥附近路段发生拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及厢式运输车组成，其中包含红色、白色、黑色等多种颜色的车辆。视频显示，从17:28:53开始，车辆行
,2024年6月1日17时02分24秒至17时03分23秒，嘉闵东金沙江路出口附近的高架道路上，一辆白色轿车在右侧车道内完全静止，车辆开启双闪灯，驾驶员在车内。该车停在行车道上，导致后方多辆车辆被迫绕行或紧急刹车，造成短时交通拥堵和通行受阻。该异常停车行为持续约20秒，直至后续车辆逐渐通过，交通恢复。此事件符合异常停车的判断标准，存在安全隐患，影响了道路正常通行秩序。,2024年6月1日17:02至17:03期间，在嘉闵东金沙江路出入口附近的高架道路上，发生了一起多车事故。事故发生在道路右侧车道，一辆白色轿车与前方白色车辆疑似发生追尾碰撞，车辆位置异常，横跨部分车道，导致后方车辆被迫减速或绕行。事故发生后
,2024年2月26日16时25分至16时26分，嘉闵西侧隧道内发生拥堵事件，地点位于隧道中段靠右侧车道区域。视频显示，多辆机动车在隧道内缓慢行驶或处于停滞状态，车流密集且持续时间较长，车辆排成长队，尾灯普遍亮起，表明车辆处于低速或停止状态。涉事车辆包括白色、黑色、红色等多种颜色的小型轿车及SUV，部分车辆存在频繁变道行为，但未见明显碰撞或事故痕迹。道路两侧设有金属护栏，隧道内照明良好，无施工迹象或抛洒物。该拥堵影响了隧道内正常通行效率，导致后方车辆被迫减速或停车等待，整体交通流呈现典型拥堵特征，符合“拥堵”异常判断标准中的多辆车缓慢移动、排队长度超过正常范围、持续一段时间且无缓解趋势等条件。,2024年2月26日16:25至16:26，在嘉闵西侧定焦03路段，发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆蓝色SUV，其中白色轿车的前部与前方车辆发生碰撞，其引擎盖和车门打开，车辆停在行车道上。事故现场有多名人员下车查看情况，部
,2023年12月8日12时26分至12时27分，外环高速沪嘉地道2（外）路段出现交通拥堵事件。该路段位于曹安公路出口3公里处，监控画面显示多辆小客车、货车及大型运输车辆在道路主线缓慢行驶或处于停滞状态，车流密度明显增加，车辆间距缩小，整体通行速度显著下降。涉事车辆包括轿车、面包车、厢式货车、平板货车、集装箱卡车以及一辆混凝土搅拌车等，均沿道路方向有序排队前行，未见异常停车、碰撞或抛洒物情况。由于车道数量未减少且无施工设施遮挡，也无二轮车辆闯入迹象，判断为因车流量大导致的常态化拥堵。车辆持续缓慢移动，后方车辆被迫减速并保持安全距离，影响了该路段的正常通行效率。整个过程中，车辆行为规范，未发生事故或紧急避让行为，但拥堵状况持续约1分钟以上，符合拥堵判断标准中的“多辆车缓慢移动或完全停止”“排队车辆长度超过正常范围”“持续一段时间且无缓解趋势”等特征。,2023年12月8日12时58分至12时59分，外环高速沪嘉地道2（外）路段出现交通拥堵事件。该路段位于曹安公路出口3公里处，监控画面显示多车道车辆行驶缓慢，车流密集且持续排队，车辆间距明显缩小，部分车辆处于低速移动或短暂停滞状态，未见明显
,2023年8月1日13时31分至13时32分，外环高速仙霞路南（外）路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及特种车辆组成。从视频中可见，右侧应急车道停有一辆黄色拖车，未见施工人员或警示标志，但其存在可能影响通行效率。主车道上车辆行驶缓慢，部分车辆在变道和减速，尤其在画面右侧区域，车辆间距明显缩小，形成排队缓行状态，持续时间超过1分钟且无缓解趋势。涉事车辆包括红色集装箱货车、白色厢式货车、蓝色平板货车以及多辆私家车，其中一辆载有挖掘机的大型平板运输车和一辆水泥搅拌车也出现在拥堵区域内。整体车流呈现低速运行特征，部分车辆频繁变道，造成通行不畅。尽管未见明显事故或抛洒物，但因车流量大且车辆类型多样，导致道路通行能力下降，符合拥堵判断标准。,多车事故
,2024年6月14日04:50:25至04:50:54期间，外环高速沪太立交东2枪机2监控画面显示，一辆白色厢式货车停靠在最右侧应急车道内，开启双闪灯，该事件符合异常停车的判断标准。,2024年6月14日04:50:25至04:50:54期间，外环高速沪太立交东2枪机2监控画面显示，在一条多车道的高架道路上，一辆白色厢式货车在右侧应急车道内长时间静止不动，车辆开启双闪灯，驾驶员下车活动，后方车辆被迫绕行或减速通过，造成该
,2023年7月25日星期二02:53至02:54期间，某城市高架桥路段出现严重交通拥堵事件。该路段为双向多车道高架道路，左侧方向车流密集，车辆排成长队缓慢行驶，车距极小，部分车辆几乎处于静止状态，持续时间超过一分钟且无缓解趋势。右侧方向车流相对通畅，但受左侧拥堵影响，整体通行效率下降。涉事车辆包括多种轿车、SUV及小型客车，其中白色、黑色和红色车辆较为集中，未见明显事故或障碍物。拥堵区域位于桥梁中部，两侧设有护栏，周围绿树成荫，天气晴朗，能见度良好。异常特征表现为左侧车道车辆长时间低速移动或停滞，形成典型拥堵形态，符合交通拥堵判断标准，可能由前方突发状况或瓶颈路段引发，对通行造成显著影响。,多车事故
,2023年11月27日11时07分至11时08分，外环高速莘庄立交东（外）路段出现交通拥堵事件。该路段为多车道高速公路，左侧车道车辆密集，以大型货车为主，包括红色、蓝色、白色集装箱卡车及部分厢式货车，同时夹杂着轿车、面包车和客车，车辆行驶缓慢，排成长队，车距极短，整体呈现低速蠕动状态，持续时间约一分钟且无缓解趋势。右侧车道相对通畅，车辆正常行驶，未受明显影响。拥堵区域位于立交桥附近，道路两侧有绿化带和隔离护栏，前方可见出口指示牌提示“顾戴路 2km”等信息。现场无明显事故迹象、施工设施或抛洒物，也未见异常停车或二轮车辆闯入行为，推测拥堵原因可能为车流量过大或前方存在未显示的瓶颈路段。,2023年11月27日10时02分至10时08分，外环高速莘庄立交东（外）路段出现严重交通拥堵。该路段为多车道高速公路，双向车流密集，其中南向北方向车辆排成长队，行驶缓慢，部分车辆几乎处于停滞状态，持续时间约一分钟且无缓解趋势。涉事车辆包括
,2024年6月25日18时05分51秒至18时06分21秒，某城市高架道路南向车道监控画面显示，一辆白色面包车停在车道与中央隔离护栏之间的空旷地带，车辆开启双闪灯。该车长时间静止，虽然未对主线车辆造成显著影响，但占用位置不符合行车规范，属于异常停车行为，存在潜在安全隐患。,2024年6月25日18时26分至18时27分，位于城市快速路某路段（道路标线内）发生交通拥堵事件。该路段为双向多车道高速公路，天气为雨天，路面湿滑，能见度较低。视频显示，从18:26:55至18:27:00，该路段车辆行驶缓慢，车流密集，
,2024年3月16日14时55分，外环高速沪太立交西1（内）路段出现交通拥堵事件，现场多辆小轿车、货车及厢式货车在行车道内缓慢行驶或停滞，车辆排成长队，车流密度明显增加，部分车辆处于低速移动状态，持续时间较长且无缓解趋势，影响了正常通行效率，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常、发生在匝道等瓶颈区域等特征。,2024年3月16日14时55分至14时56分，外环高速沪太立交西1（内）路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及厢式运输车组成，其中包含一辆白色厢式货车、一辆红色平板货车、一辆白色大巴车及多辆私家车。车辆
,2023年7月16日星期日上午9时47分43秒至9时48分41秒，北环高速富锦路枪机1监控画面显示，所有车辆均在正常行驶，未见任何车辆在非停车区域静止、无信号允许停车、未开启双闪灯或驾驶员不在车内等情况。车道通行顺畅，无车辆被迫绕行或减速现象，不符合异常停车判断标准。,2023年7月16日星期日上午9时47分至9时48分，北环高速富锦路路段高架桥上发生一起多车事故。事故发生在道路右侧车道，涉事车辆包括一辆白色轿车和一辆黑色轿车，在行驶过程中两车发生追尾，两车均停于行车道上。事故发生后，现场有多名人员下车查
